"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","testAddingBranch","rieaya Suite","Sun Aug 24 10:22:55 EEST 2025","passed","Sun Aug 24 10:22:55 EEST 2025","AddingTests","test","AddingTests","testAddingBranch"
"","444","testGetAllPackagesForBeneficiary","rieaya Suite","Sun Aug 24 10:24:17 EEST 2025","passed","Sun Aug 24 10:24:17 EEST 2025","NewPackageTest","test","NewPackageTest","testGetAllPackagesForBeneficiary"
"","29884","Send a new message","rieaya Suite","Sun Aug 24 10:23:33 EEST 2025","passed","Sun Aug 24 10:24:03 EEST 2025","MessageTests","test","MessageTests","testSendMessageRequest"
"","301","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:11 EEST 2025","passed","Sun Aug 24 10:23:11 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","304","adding permission","rieaya Suite","Sun Aug 24 10:24:19 EEST 2025","passed","Sun Aug 24 10:24:19 EEST 2025","Permisions","test","Permisions","testCreatePermission"
"","345","testCreateCategory","rieaya Suite","Sun Aug 24 10:24:24 EEST 2025","passed","Sun Aug 24 10:24:25 EEST 2025","ServiceCategoryTests","test","ServiceCategoryTests","testCreateCategory"
"","341","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:11 EEST 2025","passed","Sun Aug 24 10:23:12 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","338","Get Specific State","rieaya Suite","Sun Aug 24 10:24:26 EEST 2025","passed","Sun Aug 24 10:24:26 EEST 2025","StatesTests","test","StatesTests","testGetSpecificState"
"","394","testDeletePackage","rieaya Suite","Sun Aug 24 10:24:19 EEST 2025","passed","Sun Aug 24 10:24:19 EEST 2025","NewPackageTest","test","NewPackageTest","testDeletePackage"
"","286","testDeleteWorkingHoursCase","rieaya Suite","Sun Aug 24 10:24:32 EEST 2025","passed","Sun Aug 24 10:24:33 EEST 2025","WorkingHours","test","WorkingHours","testDeleteWorkingHoursCase"
"","562","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:39 EEST 2025","passed","Sun Aug 24 10:24:39 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","434","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:10 EEST 2025","passed","Sun Aug 24 10:23:10 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","289","testGetInvoiceByOrderId","rieaya Suite","Sun Aug 24 10:23:24 EEST 2025","passed","Sun Aug 24 10:23:24 EEST 2025","Invoices","test","Invoices","testGetInvoiceByOrderId"
"","316","testGetAllOrderServicesWithRankId","rieaya Suite","Sun Aug 24 10:24:33 EEST 2025","passed","Sun Aug 24 10:24:34 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithRankId"
"","359","testAddOrderNote","rieaya Suite","Sun Aug 24 10:24:14 EEST 2025","passed","Sun Aug 24 10:24:14 EEST 2025","NewOrderService","test","NewOrderService","testAddOrderNote"
"","529","testGetAllOrderServicesWithAssignmentStatus","rieaya Suite","Sun Aug 24 10:24:43 EEST 2025","passed","Sun Aug 24 10:24:44 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithAssignmentStatus"
"","286","testGetAllOrderServicesWithAssignmentStatus","rieaya Suite","Sun Aug 24 10:24:43 EEST 2025","passed","Sun Aug 24 10:24:43 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithAssignmentStatus"
"","626","Get all package subscriptions with optional filters","rieaya Suite","Sun Aug 24 10:24:44 EEST 2025","passed","Sun Aug 24 10:24:44 EEST 2025","PackageSubscriptionsTest","test","PackageSubscriptionsTest","testGetAllPackageSubscriptions"
"","541","testGetDiscountsBySearch","rieaya Suite","Sun Aug 24 10:23:07 EEST 2025","passed","Sun Aug 24 10:23:08 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsBySearch"
"","367","adding privilege","rieaya Suite","Sun Aug 24 10:24:20 EEST 2025","passed","Sun Aug 24 10:24:21 EEST 2025","Priviledge","test","Priviledge","testCreatePrivilege"
"","339","testGetAllCategories","rieaya Suite","Sun Aug 24 10:24:25 EEST 2025","passed","Sun Aug 24 10:24:25 EEST 2025","ServiceCategoryTests","test","ServiceCategoryTests","testGetAllCategories"
"","360","testDeleteSpecificCategory","rieaya Suite","Sun Aug 24 10:24:25 EEST 2025","passed","Sun Aug 24 10:24:26 EEST 2025","ServiceCategoryTests","test","ServiceCategoryTests","testDeleteSpecificCategory"
"","486","testUpdateWorkingHoursCase","rieaya Suite","Sun Aug 24 10:24:32 EEST 2025","passed","Sun Aug 24 10:24:32 EEST 2025","WorkingHours","test","WorkingHours","testUpdateWorkingHoursCase"
"","335","testAssignPermissionToUser","rieaya Suite","Sun Aug 24 10:22:57 EEST 2025","passed","Sun Aug 24 10:22:58 EEST 2025","AssignPermissions","test","AssignPermissions","testAssignPermissionToUser"
"","1212","testPrintInvoiceByOrderId","rieaya Suite","Sun Aug 24 10:23:24 EEST 2025","passed","Sun Aug 24 10:23:26 EEST 2025","Invoices","test","Invoices","testPrintInvoiceByOrderId"
"","440","testGetAllWorkingHoursCase","rieaya Suite","Sun Aug 24 10:24:31 EEST 2025","passed","Sun Aug 24 10:24:32 EEST 2025","WorkingHours","test","WorkingHours","testGetAllWorkingHoursCase"
"","286","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:11 EEST 2025","passed","Sun Aug 24 10:23:11 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","701","testToggleRuleButton","rieaya Suite","Sun Aug 24 10:24:06 EEST 2025","passed","Sun Aug 24 10:24:06 EEST 2025","OrderRules","test","OrderRules","testToggleRuleButton"
"","426","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:08 EEST 2025","passed","Sun Aug 24 10:23:08 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","392","testGetAllPermissions","rieaya Suite","Sun Aug 24 10:24:19 EEST 2025","passed","Sun Aug 24 10:24:20 EEST 2025","Permisions","test","Permisions","testGetAllPermissions"
"","297","testAssignUserToModule","rieaya Suite","Sun Aug 24 10:22:59 EEST 2025","failed","Sun Aug 24 10:22:59 EEST 2025","AssignPermissions","test","AssignPermissions","testAssignUserToModule"
"","1063","testCreateEmployee","rieaya Suite","Sun Aug 24 10:23:16 EEST 2025","passed","Sun Aug 24 10:23:17 EEST 2025","EmployeeTests","test","EmployeeTests","testCreateEmployee"
"","334","testGetAllCity","rieaya Suite","Sun Aug 24 10:23:27 EEST 2025","passed","Sun Aug 24 10:23:27 EEST 2025","LaundryCities","test","LaundryCities","testGetAllCity"
